latitude	longitude
37.462035	127.054288
37.4901186	127.0195082
37.5004776	126.98606
37.4452	127.0476
37.466	127.0169
37.470101	127.039888
37.4941452	126.988785
37.4493583	127.0583103
37.470601	127.041188
37.4716412	127.026744
37.489007	126.9923344
37.4784409	126.9999918
37.4797439	126.9855106
37.4832801	126.9945569
37.4941452	126.988785
37.4974314	127.0003853
37.5120925	127.0056289
37.5046022	126.9945091
37.5050895	127.0135073
37.5004776	126.98606
37.5149619	127.0140771
37.5026685	127.0221589
37.4836682	127.0119725
37.49208	127.02496
37.4901186	127.0195082
37.4779619	126.9534602
37.4709634	126.9216507
37.4761761	126.9155534
37.470101	126.932963
37.4706145	126.9369907
37.4826299	126.9078649
37.461429	126.918842
37.487426	126.927075
37.4829831	126.9192856
37.4749956	126.9349995
37.4815883	126.9273519
37.4797346	126.9313
37.4745394	126.9778366
37.4750974	126.9652628
37.4842598	126.9497133
37.4853086	126.9424278
37.4791304	126.9416518
37.4762971	126.9583884
37.4806541	126.9570456
37.4895366	126.9481271
37.4918329	126.9585773
37.4881456	126.9327389
37.488943	126.91005
37.4830639	126.9786682
37.4991998	126.9738471
37.5124285	126.9536286
37.4981	126.953089
37.4981	126.953089
37.512308	126.942013
37.4984422	126.9244085
37.488943	126.91005
37.508133	126.92635
37.4857521	126.9668658
37.4809888	126.9716704
37.4845247	126.9734908
37.4887323	126.9792598
37.4830639	126.9786682
37.5058617	126.966612
37.4994203	126.941422
37.4991123	126.9313793
37.5055197	126.942296
37.508509	126.937352
37.512308	126.942013
37.538695	126.8885658
37.4954685	126.905818
37.5112667	126.9214285
37.5488	126.8883
37.541883	126.889838
37.539	126.8925
37.53635	126.89605
37.5296	126.8918
37.523067	126.883563
37.5232	126.8886
37.5201	126.8845
37.5161	126.8849
37.51455	126.889875
37.517008	126.895338
37.5126	126.8929
37.5122837	126.8970685
37.5347	126.9065
37.535	126.9024
37.5323	126.9009
37.529	126.8991
37.5261	126.8971
37.5225	126.8936
37.5216	126.8985
37.528317	126.929425
37.5289	126.9053
37.5242	126.907
37.5216	126.9032
37.5211	126.9066
37.518	126.903625
37.518	126.9082
